ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,VizSide
46211,"Nicholas ""Nick"" Harrison",M,33,187,76,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,NA,Gender
46213,Norman Edward Harrison,M,37,185,83,Australia,AUS,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Free Pistol, 50 metres",NA,Gender
46214,Paul Harrison,M,21,169,75,Australia,AUS,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Middleweight,NA,Gender
46218,Regan Dean Harrison,M,22,178,71,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Breaststroke,NA,Gender
46218,Regan Dean Harrison,M,22,178,71,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Gender
46218,Regan Dean Harrison,M,25,178,71,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Breaststroke,NA,Gender
46223,Thomas Harrison,M,22,182,75,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's Sprint,NA,Gender
46227,Loretta Harrop,F,25,168,53,Australia,AUS,2000 Summer,2000,Summer,Sydney,Triathlon,Triathlon Women's Olympic Distance,NA,Gender
46227,Loretta Harrop,F,29,168,53,Australia,AUS,2004 Summer,2004,Summer,Athina,Triathlon,Triathlon Women's Olympic Distance,Silver,Gender
46229,Kristi Lee Harrower,F,25,162,63,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,Gender
46229,Kristi Lee Harrower,F,29,162,63,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver,Gender
46229,Kristi Lee Harrower,F,33,162,63,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Silver,Gender
46229,Kristi Lee Harrower,F,37,162,63,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze,Gender
46255,Nathan Hart,M,23,180,90,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,NA,Gender
46294,"Alexander ""Alex"" Hartmann",M,23,198,91,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,NA,Gender
