ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
37740,"Christopher John ""Chris"" Fydler",M,23,197,91,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NA
37740,"Christopher John ""Chris"" Fydler",M,27,197,91,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,NA
37740,"Christopher John ""Chris"" Fydler",M,27,197,91,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,NA
37740,"Christopher John ""Chris"" Fydler",M,27,197,91,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
37936,Melinda Maree Gainsford-Taylor,F,20,172,67,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres,NA
37936,Melinda Maree Gainsford-Taylor,F,20,172,67,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 200 metres,NA
37936,Melinda Maree Gainsford-Taylor,F,20,172,67,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 100 metres Relay,NA
37936,Melinda Maree Gainsford-Taylor,F,24,172,67,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 200 metres,NA
37936,Melinda Maree Gainsford-Taylor,F,24,172,67,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,NA
37936,Melinda Maree Gainsford-Taylor,F,28,172,67,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,NA
37936,Melinda Maree Gainsford-Taylor,F,28,172,67,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 200 metres,NA
37936,Melinda Maree Gainsford-Taylor,F,28,172,67,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,NA
37936,Melinda Maree Gainsford-Taylor,F,28,172,67,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,NA
37958,"Jarmila Gajdoov (-Groth-, -Wolfe)",F,25,173,68,Australia-1,AUS,2012 Summer,2012,Summer,London,Tennis,Tennis Women's Doubles,NA
38015,Jo-Ann Galbraith,F,19,173,72,Australia,AUS,2004 Summer,2004,Summer,Athina,Archery,Archery Women's Individual,NA
38015,Jo-Ann Galbraith,F,19,173,72,Australia,AUS,2004 Summer,2004,Summer,Athina,Archery,Archery Women's Team,NA
38027,Natalie Galea,F,23,160,72,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Half-Heavyweight,NA
38030,"Eugen-Josip ""Eugene"" Galekovic",M,23,189,92,Australia,AUS,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,NA
38104,Peta Gallagher,F,26,160,61,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,NA
38163,James Chester Galloway,M,24,194,91,Australia,AUS,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,NA
38195,Felicity Madeline Galvez,F,19,167,58,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Butterfly,NA
38195,Felicity Madeline Galvez,F,23,167,58,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
38195,Felicity Madeline Galvez,F,23,167,58,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
38223,Maxwell S. Gamble,M,21,183,85,Australia,AUS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights,NA
38251,Wayne Bruce Gammon,M,14,155,38,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Pairs,NA
38452,Brendan James Garard,M,24,176,74,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze
38729,Linda Maree Garden (-Parr),F,28,178,63,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Long Jump,NA
38744,"Robert Charles ""Bob"" Gardiner",M,28,170,63,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 20 kilometres Walk,NA
38744,"Robert Charles ""Bob"" Gardiner",M,28,170,63,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 50 kilometres Walk,NA
38744,"Robert Charles ""Bob"" Gardiner",M,32,170,63,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 50 kilometres Walk,NA
38751,John Neville Gardiner,M,21,191,89,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,NA
38765,"Elizabeth ""Liz"" Gardner",F,25,157,55,Australia,AUS,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Women's Aerials,NA
38765,"Elizabeth ""Liz"" Gardner",F,29,157,55,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Women's Aerials,NA
38771,Peter John Gardner,M,23,183,74,Australia,AUS,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,NA
38786,Katrin Garfoot,F,34,166,56,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",NA
38786,Katrin Garfoot,F,34,166,56,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Individual Time Trial,NA
38823,Mark James Garner,M,19,174,69,Australia,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
38823,Mark James Garner,M,19,174,69,Australia,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,NA
38823,Mark James Garner,M,23,174,69,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,NA
38827,Russell Garnett,M,23,185,75,Australia,AUS,2000 Summer,2000,Summer,Sydney,Handball,Handball Men's Handball,NA
38852,Richard James Garrard,M,21,175,81,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxless Fours,NA
38881,Heather Ann Garriock,F,17,164,58,Australia,AUS,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,NA
38881,Heather Ann Garriock,F,21,164,58,Australia,AUS,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,NA
38908,Stacey Gartrell,F,19,171,60,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 800 metres Freestyle,NA
38918,Charles Francis Garzarella,M,24,185,145,Australia,AUS,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Super-Heavyweight,NA
39028,"Terrence Steven ""Terry"" Gathercole",M,20,177,76,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 200 metres Breaststroke,NA
39028,"Terrence Steven ""Terry"" Gathercole",M,24,177,76,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 200 metres Breaststroke,NA
39028,"Terrence Steven ""Terry"" Gathercole",M,24,177,76,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
39044,"Rocco ""Rocky"" Gattellari",M,18,160,51,Australia,AUS,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Flyweight,NA
39081,Paul Charles Gaudoin,M,20,172,73,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze
39081,Paul Charles Gaudoin,M,25,172,73,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
39083,Blake Gaudry,M,20,179,72,Australia,AUS,2012 Summer,2012,Summer,London,Trampolining,Trampolining Men's Individual,NA
39083,Blake Gaudry,M,24,179,72,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Men's Individual,NA
39166,Daria Gavrilova,F,22,166,61,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Singles,NA
39166,Daria Gavrilova,F,22,166,61,Australia-1,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,NA
39218,Andrew Barry Casson Gaze,M,19,201,96,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,NA
39218,Andrew Barry Casson Gaze,M,23,201,96,Australia,AUS,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,NA
39218,Andrew Barry Casson Gaze,M,27,201,96,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,NA
39218,Andrew Barry Casson Gaze,M,30,201,96,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,NA
39218,Andrew Barry Casson Gaze,M,35,201,96,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,NA
39219,Lindsay John Casson Gaze,M,28,184,76,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,NA
39263,Daniel Geale,M,19,178,67,Australia,AUS,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Welterweight,NA
39457,Peter Genders,M,25,177,75,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",NA
